"Отметка времени","1. Вы работаете?","2. Вы путешествуете?","3. Где предпочитаете путешествовать: в пределах России или за границей?  (Если ответили ""да"" на предыдущий вопрос)","4. Приобретаете страховку при путешествиях?  (Если ответили ""да"" на 2 вопрос)","5. Что вас заставило задуматься о приобретении страховки? (Если ответили ""да"" на 4 вопрос)","6. Почему не приобретаете страховку при путешествиях? (Если ответили ""нет"" на 4 вопрос)","7. Что сподвигнуло бы вас на приобретение страхования во время путешествий? (Если ответили ""нет"" на 4 вопрос)","8. Если вы оформляли страховку у Сбер Страхования, какие были неудобства во время процесса ее оформления? Есть ли у вас пожелания к улучшению данного процесса?   (Если ответили ""да"" на 4 вопрос)"
"5/11/2024 18:13:41","Нет","Да","В пределах России","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:14:31","Да","Нет","В пределах России","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Сниженная цена ",""
"5/11/2024 18:16:32","Да","Нет","","","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Возврат части средств, в случае не наступления страховой ситуации",""
"5/11/2024 18:20:14","Нет","Нет","","","","Доверие удаче, Необходимость экономии денег","Сохранение средств ",""
"5/11/2024 18:21:28","Да","Нет","","","","","",""
"5/11/2024 18:23:32","Нет","Да","В пределах России","Нет","","Доверие удаче","",""
"5/11/2024 18:23:34","Да","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег","Долгий перелет, ценность багажа",""
"5/11/2024 18:24:20","Нет","Да","Оба варианта","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:27:52","Нет","Да","В пределах России","Нет","","Доверие удаче, Жаль потраченных деньги в случае не наступления страхового случая","Опасность местности, которую собираюсь посетить",""
"5/11/2024 18:32:53","Да","Да","В пределах России","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:35:23","Нет","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Длительное нахождение в другом месте ",""
"5/11/2024 18:37:11","Нет","Нет","В пределах России","Нет","","Необходимость экономии денег","",""
"5/11/2024 18:37:48","Да","Да","Оба варианта","Да","Собственная безопасность и уверенность, что мне могут помочь соотечественники в другой стране","","Совершенно неизвестная страна, страна, в которую я еду первый раз, страна, в которой страшно с медицинской помощью (США, например)","Не оформлял"
"5/11/2024 18:38:02","Нет","Да","В пределах России","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","Вероятность опасных условий",""
"5/11/2024 18:38:28","Нет","Да","В пределах России","Нет","","Все будет хорошо) ","-",""
"5/11/2024 18:44:20","Нет","Да","В пределах России","Нет","","Доверие удаче","Угроза имуществу",""
"5/11/2024 18:48:27","Да","Нет","Оба варианта","Нет","","Доверие удаче, Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:55:56","Нет","Нет","Оба варианта","","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","низкая стоимость ",""
"5/11/2024 18:56:26","Да","Да","Оба варианта","Нет","","Доверие удаче, Жаль потраченных деньги в случае не наступления страхового случая","Наличие бонуса ",""
"5/11/2024 18:59:02","Нет","Нет","","","","","",""
"5/11/2024 19:07:07","Нет","Да","Оба варианта","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 19:11:35","Да","Нет","","","","","",""
"5/11/2024 19:14:30","Нет","Да","За границей","Да","Хз, мама говорит надо","","",""
"5/11/2024 19:18:12","Да","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег","Бесплатность",""
"5/11/2024 19:25:58","Нет","Нет","","Нет","","","",""
"5/11/2024 19:29:34","Да","Да","В пределах России","Нет","","Необходимость экономии денег","",""
"5/11/2024 20:02:04","Нет","Да","В пределах России","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","Ничего",""
"5/11/2024 20:30:05","Нет","Да","Оба варианта","Да","гарантии","","",""
"5/11/2024 20:32:14","Нет","Да","Оба варианта","Да","Проблемы со здоровьем, которые могут возникнуть в поездке","","",""
"5/11/2024 20:36:27","Нет","Да","В пределах России","Да","Формальная необходимость и соображения о безопасности","","Путешествие в места с высокой опасностью для здоровья","Не оформлял в Сбере"
"5/11/2024 21:56:20","Да","Да","Оба варианта","Да","Требования принимающих стран -- наличие страховки","","",""
"5/11/2024 23:10:41","Нет","Нет","","","","","",""
"5/12/2024 11:40:16","Да","Нет","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Включена в стоимость",""
"5/12/2024 11:41:21","Нет","Да","Оба варианта","Да","Я думаю о своей безопасности","","","Не оформляла через Сбер"
"5/12/2024 13:08:20","Нет","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Возможно, более высокие риски в путешествии",""
"5/12/2024 18:07:37","Нет","Да","В пределах России","Нет","","Доверие удаче","",""
"5/13/2024 11:53:38","Нет","Да","Оба варианта","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/13/2024 12:06:04","Да","Да","Оба варианта","Нет","","А где надо страховаться?","Если бы его предлагали","Не оыормляла"
"5/13/2024 12:23:45","Нет","Нет","Оба варианта","","","","",""
"5/13/2024 12:37:24","Да","Нет","Оба варианта","","","","",""
"5/13/2024 12:42:53","Нет","Нет","","","","","",""
"5/13/2024 12:57:19","Нет","Да","Оба варианта","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","хорошая работа страховой компании, зачастую они пытаются сэкономить деньги на пострадавших)",""
"5/13/2024 14:02:27","Нет","Нет","","","","","",""
"5/13/2024 14:04:33","Нет","Нет","За границей","Нет"," ","Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/13/2024 14:04:57","Нет","Нет","Оба варианта","Нет","","ещё не думала ","защита мб",""
"5/13/2024 14:18:14","Нет","Нет","","","","","",""
"5/13/2024 14:20:07","Нет","Нет","","","Всегда надо быть готовым 
","","",""
"5/13/2024 14:37:19","Нет","Нет","За границей","","","","",""
